Column,Field,Description,Storage.Type,Variable.Codes,Units,Populated.by
1 / A,species,,,,,
2 / B,quadrat,,,,,
3 / C,lx,,,,,
4 / D,ly,,,,,
5 / E,tag,,,,,
6 / F,stem,,,,,
7 / G,dbh.2018,,,,,
8 / H,codes.2018,,,,,
9 / I,status.2015,,,,,
10 / J,status.2016,,,,,
11 / K,status.2017,,,,,
12 / L,status.2018,,,,,
13 / M,status.2019,,,,,
14 / N,new.status,,,,,
15 / O,dbh.if.dead,,,,,
16 / P,perc.crown,,,,,
17 / Q,crown.position,,,,,
18 / R,fad1,,,,,
19 / S,fad2,,,,,
20 / T,fad3,,,,,
21 / U,fad4,,,,,
22 / V,DF,Defoliation rating for AU individuals,numeric (integer) ,"1 = healthy tree with no symptoms of decline, no defoliation; 2 = slight reduction in leaf density (thinning), yet all top branches exposed to sunlight have leaves; 3 = thinning canopy and some top branches exposed to sunlight are defoliated (<50% dieback); 4 = >50% defoliation/dieback; 5 = Dead tree with no leaves in canopy (excluding epicormic sprouting)",-,
23 / W,liana.load,,,,,
24 / X,fraxinus.crown.thinning,,,,,
25 / Y,fraxinus.epicormic.growth,,,,,
26 / Z,EABF,,,,,
27 / AA,DE.count,,,,,
28 / AB,Old.comments,,,,,
29 / AC,X2019.comments,,,,,
30 / AD,X2020.comments,,,,,
31 / AE,cored,,,,,
32 / AF,date,,,,,
33 / AG,surveyor,,,,,
