survey_type,survey_year,raw_column_name,unified_column name,note,description
mortality,2020,X2020.comments,current_year_comment,,
mortality,2019,X2019.comments,current_year_comment,,
mortality,2020,X2019.comments,previous_year_comment,,
mortality,2018,X2018.comments,current_year_comment,,
mortality,2021,Wounded.main.stem,wounded_main_stem,,
mortality,2017,W,delete,is already combined in one column eabf,
mortality,2017,VB,delete,is already combined in one column eabf,
mortality,2014,tag,tag,,
mortality,2015,tag,tag,,
mortality,2016,tag,tag,,
mortality,2017,tag,tag,,
mortality,2018,tag,tag,,
mortality,2019,tag,tag,,
mortality,2020,tag,tag,,
mortality,2021,Tag,tag,,
mortality,2014,surveyors,surveyor,,
mortality,2015,surveyors,surveyor,,
mortality,2016,surveyors,surveyor,,
mortality,2017,surveyors,surveyor,,
mortality,2018,surveyors,surveyor,,
mortality,2021,SurveyorID,surveyor,,
mortality,2019,surveyor,surveyor,,
mortality,2020,surveyor,surveyor,,
mortality,2021,Submission.Id,submission_id,,
mortality,2021,StemTag,StemTag,,
mortality,2014,stem,StemTag,,
mortality,2015,stem,StemTag,,
mortality,2016,stem,StemTag,,
mortality,2017,stem,StemTag,,
mortality,2018,stem,StemTag,,
mortality,2019,stem,StemTag,,
mortality,2020,stem,StemTag,,
mortality,2021,Status.2021,current_year_status,,
mortality,2020,status.2019,previous_year_status,,
mortality,2019,status.2018,previous_year_status,,
mortality,2020,status.2018,delete,,
mortality,2021,Status.2018,last_main_cenus_status,,
mortality,2019,status.2017,delete,,
mortality,2020,status.2017,delete,,
mortality,2017,status.2016,previous_year_status,,
mortality,2018,status.2016,delete,,
mortality,2019,status.2016,delete,,
mortality,2020,status.2016,delete,,
mortality,2016,status.2015,previous_year_status,,
mortality,2017,status.2015,delete,,
mortality,2018,status.2015,delete,,
mortality,2019,status.2015,delete,,
mortality,2020,status.2015,delete,,
mortality,2016,status.2014,delete,,
mortality,2018,status..2017,previous_year_status,,
mortality,2017,SS,delete,is already combined in one column eabf,
mortality,2014,species,sp,,
mortality,2015,species,sp,,
mortality,2019,species,sp,,
mortality,2020,species,sp,,
mortality,2021,Species,sp,,
mortality,2016,sp,sp,,
mortality,2017,sp,sp,,
mortality,2018,sp,sp,,
mortality,2021,Rotting.trunk,rotting_trunk,,
mortality,2021,QY,gy,will need to add quadrat coordinate,plot coordinate y
mortality,2021,QX,gx,will need to add quadrat coordinate,plot coordinate x
mortality,2014,quadrat,quadrat,,
mortality,2015,quadrat,quadrat,,
mortality,2016,quadrat,quadrat,,
mortality,2017,quadrat,quadrat,,
mortality,2018,quadrat,quadrat,,
mortality,2019,quadrat,quadrat,,
mortality,2020,quadrat,quadrat,,
mortality,2021,Quad,quadrat,,
mortality,2014,previous.condition,previous_year_status,,
mortality,2015,previous.condition,previous_year_status,,
mortality,2021,Percentage.of.crown.living,percent_of_crown_living,need to translate it into score_crown_intact column,
mortality,2021,Percentage.of.crown.intact,percent_of_crown_intact,need to translate it into score_crown_living column,
mortality,2014,perc.crown,score_crown_intact,,
mortality,2015,perc.crown,score_crown_intact,,
mortality,2016,perc.crown,score_crown_intact,,
mortality,2017,perc.crown,score_crown_intact,,
mortality,2018,perc.crown,score_crown_intact,,
mortality,2019,perc.crown,score_crown_intact,,
mortality,2020,perc.crown,score_crown_intact,,
mortality,2018,Old.comments,previous_year_comment,,
