ID,issue_name,survey_years_to_apply_fix,fix,description_of_issue
1,33331 vs 30365,"c(2014, 2015, 2016)","mort[mort$tag %in% 33331, ]$sp <- ""fram"" ; mort[mort$tag %in% 33331, ]$tag <- 30365 ; mort[mort$tag %in% 30365, ]$StemTag <- c(1,2)[order(mort[mort$tag %in% 30365,]$last_main_census_dbh, decreasing = T)]","# 33331 vs 30365: Up until the 2018 main census, in full census data, tag 33331 appeared 2 times with same StemTag 1, looking like a 2-stem quru with wrong StemTag on smaller stem. In 2014 it was found that the biggest stem was actually tagged with tag 30365. The tag number was changed only in mortality census 2017 and Maya and Ryan ID-ed that second stem as being a fram, but the species ID was never changed in the data sets.
# So it seems that the truth would be:
# 33331 1 quru 161.2
# 30365 1 fram 992.0
#
# BUT, after 2018 main census, it seems that instructions were given to Suzanne Lao to change the tag number and species of BOTH stems, instead of the biggest stem only. So tag 33331 disappeared and we ended up with the same issue of having tag 30365 StemTag 1 appearing 2 times (but this time on a fram).
#
# So:
# Long term solution: tell Suzanne that smaller stem is a quru with tag 33331.
# Short term solution (for building new master mortality census data) changing 33331 quru to 30365 fram AND, for here, put a StemTag = 2 to smaller stem"
2,33331 vs 30365,"c(2017, 2018)","mort[mort$tag %in% 33331, ]$sp <- ""fram"" ; mort[mort$tag %in% 33331, ]$tag <- 30365 ; mort[mort$tag %in% 30365, ]$StemTag <- 2","# 33331 vs 30365: Up until the 2018 main census, in full census data, tag 33331 appeared 2 times with same StemTag 1, looking like a 2-stem quru with wrong StemTag on smaller stem. In 2014 it was found that the biggest stem was actually tagged with tag 30365. The tag number was changed only in mortality census 2017 and Maya and Ryan ID-ed that second stem as being a fram, but the species ID was never changed in the data sets.
# So it seems that the truth would be:
# 33331 1 quru 161.2
# 30365 1 fram 992.0
#
# BUT, after 2018 main census, it seems that instructions were given to Suzanne Lao to change the tag number and species of BOTH stems, instead of the biggest stem only. So tag 33331 disappeared and we ended up with the same issue of having tag 30365 StemTag 1 appearing 2 times (but this time on a fram).
#
# So:
# Long term solution: tell Suzanne that smaller stem is a quru with tag 33331.
# Short term solution (for building new master mortality census data) changing 33331 quru to 30365 fram AND, for here, put a StemTag = 2 to smaller stem"
3,133461 vs 131352,"c(2014, 2015)","mort[mort$tag %in% 133461, ]$sp <- ""fram""; mort[mort$tag %in% 133461 & mort$last_main_census_dbh < 900, ]$StemTag <- 1; mort[mort$tag %in% 133461 & mort$last_main_census_dbh > 900, ]$tag <- 131352","# ""tag 133461 StemTag 1 (bigger stem) (quadrat 1316, comment in 2015: Ojo:this is not caco, it is fram. Not 2 stem! Fram tag=131352)""
## looks like the bigger stem has a different tag and is fram. After 2018 main census, the tag and species were fixed but the species of the smaller stem (tag 133461), which was originally caco, was also changed to fram, not sure if it was made on purpose. I will do the same here..."
4,133461 vs 131352,"c(2016, 2017)","mort[mort$tag %in% 133461, ]$sp <- ""fram"" ; mort <- mort[!(mort$tag %in% 133461 & mort$last_main_census_dbh > 900), ] ; mort[mort$tag %in% 133461 & mort$last_main_census_dbh < 900, ]$StemTag <- 1","# ""tag 133461 StemTag 1 (bigger stem) (quadrat 1316, comment in 2015: Ojo:this is not caco, it is fram. Not 2 stem! Fram tag=131352)""
## looks like the bigger stem has a different tag and is fram. After 2018 main census, the tag and species were fixed but the species of the smaller stem (tag 133461), which was originally caco, was also changed to fram, not sure if it was made on purpose. I will do the same here..."
5,133461 vs 131352,c(2018),"mort[mort$tag %in% 133461, ]$sp <- ""fram"" ; mort <- mort[!(mort$tag %in% 131352 & mort$fraxinus_eabf %in% ""AS;W;DE""),]","# ""tag 133461 StemTag 1 (bigger stem) (quadrat 1316, comment in 2015: Ojo:this is not caco, it is fram. Not 2 stem! Fram tag=131352)""
## looks like the bigger stem has a different tag and is fram. After 2018 main census, the tag and species were fixed but the species of the smaller stem (tag 133461), which was originally caco, was also changed to fram, not sure if it was made on purpose. I will do the same here..."
6,170982 is fram and not liriodendron,"c(2014, 2015, 2016, 2017, 2018)","mort[mort$tag %in% 170982, ]$sp <- ""fram""",# 170982 is fram in main cencus but liriodendron in mort census --> will change to fram
7,80180 is cagl and not quru,"c(2014, 2015, 2016, 2017, 2018, 2019, 2020)","mort[mort$tag %in% 80180, ]$sp <- ""cagl""","# 80180 is cagl in main census, qupr in mort census --> will change to cagl"
8,131272 is fram,c(2020),"mort[mort$tag %in% 131272, ]$sp <- ""fram""",# 131272 is fram in all censuses except mort20 where it is juni
9,123412 is fram,c(2020),"mort[mort$tag %in% 123412, ]$sp <- ""fram""",# 123412 is fram in all main censuses but frpe in mort20
10,123412 quad is 1204,c(2020),"mort[mort$tag %in% 123412, ]$quadrat <- ""1204""",# 123412 quadrat is wrong in mort20 (1203 instead of 1204)
