OBJECTID,quadrat,tag,StemTag,sp,dbh_2023,status_2023,status_2024,fad_2024,comment_mortality_2024,status_2025,fad_2025,comment_mortality_2025,hom,codes_2023,notes_2023,mort_census_status,fad_choices,crown_intact,crown_living,crown_check,lean_angle,liana_load,dead_with_resprout,GlobalID,CreationDate,Creator,EditDate,Editor,CreationDate,Creator,EditDate,Editor
1,103,10160,2,acru,635,LI,LI,"B,R,W",Break 40% up; ES,LI,"B,K,F",,1.3,,,finished,F,3,3,,1,0,0,8af1485f-edeb-4dde-92ae-5bc107d2da8e,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/9/2025 7:30:25 PM,shuej21
2,105,10263,2,acne,140,LI,LI,,,LI,"DF,K",,1.3,,,finished,K,4,4,,1,3,0,2af9f82e-c531-489a-955f-c4666c8234f0,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,7/3/2025 3:19:19 PM,RaymondE@si.edu_SI
3,110,10494,2,havi,105,LI,,,,LI,"K,W",,1.3,,,finished,W,4,4,,1,0,0,3e61fa52-3d8d-4a4e-8ea2-9cf910303b29,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/9/2025 4:07:59 PM,shuej21
4,109,10550,2,caca,115,LI,,,,DN,,,1.3,,,finished,,,,,1,0,0,b9ab20ea-f92a-4427-8cba-3c8be6483cd8,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,7/2/2025 7:23:50 PM,RaymondE@si.edu_SI
5,102,10704,2,cato,337,LI,LI,,,LI,,,1.3,,,finished,,5,5,,1,0,0,a5a5f693-4b3f-402f-863f-b2d3deb0a460,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/9/2025 2:58:34 PM,shuej21
6,101,12130,2,tiam,209,LI,LI,,,LI,,,1.3,,,finished,,5,5,,1,0,0,dcc4a8e5-c456-43ad-8145-54e2ce8c0f07,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/16/2025 5:15:49 PM,shuej21
7,101,12165,2,nysy,132,LI,LI,,,LI,,,1.3,,Stem tag 2,finished,,5,5,,1,0,0,ba7c7164-d888-4ef8-ba7e-f076c17d7060,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/16/2025 5:29:53 PM,shuej21
8,101,12178,2,tiam,365,LI,LI,,,LI,,,1.3,,,finished,,5,5,,1,0,0,ed1e80fd-b1bb-46d5-a709-155faeed07da,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/16/2025 5:41:30 PM,shuej21
9,123,12211,2,caca,188,LI,,,,,,,1.1,,,not started,,,,,1,0,0,3187ca41-052a-4572-b26a-c6ac627f3e3e,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,5/23/2025 11:32:08 AM,shuej21
10,124,12233,5,havi,102,LI,,,,LI,,Should be 3 not 5,1.3,DV,Error measures for the 20218 census,finished,,5,5,,2,0,0,682ba1f8-e199-4422-adde-863820aaca76,5/8/2025 3:30:13 PM,shuej21,5/9/2025 5:14:50 PM,shuej21,5/20/2025 12:19:50 PM,shuej21,6/16/2025 6:36:23 PM,shuej21
