"Species","survey_year","dbh_class","mortality_rate","LCI_95","UCI_95","mean_dbh","N0","n_died","mean_timeint_yr"
"All","2013","[100,152]",0.03,0,0.06,123.12,2165,3,4.7
"All","2014","[100,152]",1.76,1.26,2.33,123.17,2179,48,1.26
"All","2015","[100,152]",2.02,1.29,2.89,123.25,2130,34,0.79
"All","2016","[100,152]",2.87,2.18,3.64,123.24,2095,60,1
"All","2017","[100,152]",3.16,2.41,3.98,123.37,2039,66,1.02
"All","2018","[100,152]",2.83,1.93,3.79,123.39,1971,53,0.95
"All","2019","[100,152]",0.63,0.29,1.06,126.61,1660,11,1.05
"All","2020","[100,152]",3.05,2.34,3.89,123.93,1923,60,1.02
"All","2021","[100,152]",4.25,3.15,5.45,124.01,1861,73,0.92
"All","2022","[100,152]",2.64,1.99,3.38,124.06,1773,50,1.07
"All","2013","(152,231]",0.01,0,0.04,187.6,1744,1,4.71
"All","2014","(152,231]",1.64,1.07,2.23,187.53,1757,36,1.25
"All","2015","(152,231]",2.13,1.45,2.94,187.44,1720,29,0.79
"All","2016","(152,231]",2.02,1.41,2.71,187.36,1691,34,1
"All","2017","(152,231]",2.36,1.59,3.22,187.38,1655,40,1.02
"All","2018","(152,231]",1.57,1.01,2.16,187.41,1615,24,0.95
"All","2019","(152,231]",0.29,0.06,0.55,186.8,1670,5,1.05
"All","2020","(152,231]",2.58,1.79,3.38,186.7,1668,44,1.02
"All","2021","(152,231]",3.41,2.53,4.43,186.85,1618,51,0.92
"All","2022","(152,231]",1.93,1.32,2.58,186.85,1554,32,1.07
"All","2013","(231,351]",0,0,0,284.1,1365,0,4.7
"All","2014","(231,351]",1.4,0.82,1.99,284.02,1368,24,1.26
"All","2015","(231,351]",0.75,0.28,1.3,284.21,1342,8,0.79
"All","2016","(231,351]",1.43,0.8,2.1,284.28,1334,19,1
"All","2017","(231,351]",1.86,1.04,2.91,284.2,1314,25,1.02
"All","2018","(231,351]",2.14,1.34,3.02,284.1,1288,26,0.94
"All","2019","(231,351]",0.58,0.22,0.98,284.85,1316,8,1.05
"All","2020","(231,351]",2.69,1.83,3.64,284.81,1308,36,1.02
"All","2021","(231,351]",3.14,2.22,4.19,284.8,1270,37,0.93
"All","2022","(231,351]",2.67,1.83,3.72,284.52,1232,35,1.07
"All","2013","(351,534]",0,0,0,440.25,1408,0,4.71
"All","2014","(351,534]",0.51,0.22,0.88,440.22,1413,9,1.25
"All","2015","(351,534]",0.99,0.36,1.62,440.36,1404,11,0.79
"All","2016","(351,534]",0.58,0.22,0.99,440.15,1393,8,1
"All","2017","(351,534]",1.63,1,2.25,440.49,1383,23,1.02
"All","2018","(351,534]",2.09,1.29,2.88,440.42,1361,27,0.95
"All","2019","(351,534]",0.6,0.23,0.98,441.5,1285,8,1.05
"All","2020","(351,534]",2.84,1.84,3.98,441.46,1276,37,1.02
"All","2021","(351,534]",3.29,2.09,4.6,441.3,1239,38,0.93
"All","2022","(351,534]",2.83,1.94,3.91,441.45,1197,36,1.06
"All","2013","(534,811]",0,0,0,638.13,1199,0,4.72
"All","2014","(534,811]",0.4,0.13,0.71,638.11,1201,6,1.24
"All","2015","(534,811]",0.63,0.2,1.19,638.27,1194,6,0.79
"All","2016","(534,811]",0.85,0.34,1.45,638.08,1188,10,0.99
